NEW YORK CITY DEPARTMENT OF FINANCE,,,,,,
"Sales of 1, 2, and 3 Family Homes in Brooklyn in 2014",,,,,,
,,,,,,
NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATH BEACH               ,01 ONE FAMILY HOMES     ,22," $340,000 "," $723,064 "," $642,500 "," $2,400,000 "
BATH BEACH               ,02 TWO FAMILY HOMES     ,72," $250,000 "," $787,927 "," $750,000 "," $1,400,000 "
BATH BEACH               ,03 THREE FAMILY HOMES   ,20," $625,000 "," $1,075,145 "," $1,075,000 "," $1,550,000 "
BAY RIDGE                ,01 ONE FAMILY HOMES     ,107," $208,750 "," $881,817 "," $800,000 "," $3,580,000 "
BAY RIDGE                ,02 TWO FAMILY HOMES     ,132," $200,000 "," $912,115 "," $904,000 "," $2,900,000 "
BAY RIDGE                ,03 THREE FAMILY HOMES   ,18," $750,000 "," $997,889 "," $937,500 "," $1,579,000 "
BEDFORD STUYVESANT       ,01 ONE FAMILY HOMES     ,50," $200,000 "," $682,522 "," $595,500 "," $1,800,000 "
BEDFORD STUYVESANT       ,02 TWO FAMILY HOMES     ,367," $200,000 "," $819,270 "," $730,000 "," $11,000,000 "
BEDFORD STUYVESANT       ,03 THREE FAMILY HOMES   ,212," $215,000 "," $876,114 "," $850,000 "," $2,100,000 "
BENSONHURST              ,01 ONE FAMILY HOMES     ,43," $230,000 "," $725,132 "," $710,000 "," $1,450,000 "
BENSONHURST              ,02 TWO FAMILY HOMES     ,123," $315,000 "," $881,837 "," $850,000 "," $1,767,000 "
BENSONHURST              ,03 THREE FAMILY HOMES   ,36," $580,000 "," $996,136 "," $985,000 "," $1,599,888 "
BERGEN BEACH             ,01 ONE FAMILY HOMES     ,27," $400,000 "," $616,074 "," $550,000 "," $1,250,000 "
BERGEN BEACH             ,02 TWO FAMILY HOMES     ,22," $350,000 "," $639,639 "," $659,000 "," $940,000 "
BERGEN BEACH             ,03 THREE FAMILY HOMES   ,16," $450,000 "," $676,813 "," $622,500 "," $1,494,000 "
BOERUM HILL              ,01 ONE FAMILY HOMES     ,4," $2,100,100 "," $3,890,025 "," $2,330,000 "," $8,800,000 "
BOERUM HILL              ,02 TWO FAMILY HOMES     ,18," $260,000 "," $2,192,702 "," $1,853,003 "," $5,400,000 "
BOERUM HILL              ,03 THREE FAMILY HOMES   ,6," $675,000 "," $2,050,000 "," $2,012,500 "," $4,100,000 "
BOROUGH PARK             ,01 ONE FAMILY HOMES     ,57," $300,000 "," $868,836 "," $749,000 "," $2,802,500 "
BOROUGH PARK             ,02 TWO FAMILY HOMES     ,174," $210,000 "," $945,464 "," $910,000 "," $3,205,000 "
BOROUGH PARK             ,03 THREE FAMILY HOMES   ,58," $252,000 "," $1,035,757 "," $991,500 "," $2,000,000 "
BRIGHTON BEACH           ,01 ONE FAMILY HOMES     ,12," $265,000 "," $400,135 "," $380,000 "," $560,000 "
BRIGHTON BEACH           ,02 TWO FAMILY HOMES     ,10," $380,000 "," $546,189 "," $512,500 "," $750,000 "
BRIGHTON BEACH           ,03 THREE FAMILY HOMES   ,9," $280,000 "," $510,471 "," $510,638 "," $678,000 "
BROOKLYN HEIGHTS         ,01 ONE FAMILY HOMES     ,13," $990,000 "," $4,508,518 "," $3,762,500 "," $7,500,000 "
BROOKLYN HEIGHTS         ,02 TWO FAMILY HOMES     ,6," $2,700,000 "," $6,335,000 "," $6,112,500 "," $10,625,000 "
BROOKLYN HEIGHTS         ,03 THREE FAMILY HOMES   ,2," $3,000,000 "," $4,050,000 "," $4,050,000 "," $5,100,000 "
BROOKLYN-UNKNOWN         ,02 TWO FAMILY HOMES     ,2," $999,999 "," $999,999 "," $999,999 "," $999,999 "
