NEW YORK CITY DEPARTMENT OF FINANCE,,,,,,
"Sales of 1, 2, and 3 Family Homes in Brooklyn in 2012",,,,,,
,,,,,,
NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATH BEACH               ,01 ONE FAMILY HOMES     ,18,"$410,000 ","$586,944 ","$542,000 ","$860,000 "
BATH BEACH               ,02 TWO FAMILY HOMES     ,57,"$270,000 ","$687,012 ","$650,000 ","$2,220,000 "
BATH BEACH               ,03 THREE FAMILY HOMES   ,17,"$520,000 ","$866,662 ","$927,000 ","$1,300,000 "
BAY RIDGE                ,01 ONE FAMILY HOMES     ,95,"$226,040 ","$822,855 ","$710,000 ","$2,800,000 "
BAY RIDGE                ,02 TWO FAMILY HOMES     ,109,"$237,500 ","$753,285 ","$745,000 ","$1,575,000 "
BAY RIDGE                ,03 THREE FAMILY HOMES   ,15,"$270,000 ","$739,203 ","$785,000 ","$995,000 "
BEDFORD STUYVESANT       ,01 ONE FAMILY HOMES     ,38,"$200,000 ","$470,920 ","$473,500 ","$1,080,000 "
BEDFORD STUYVESANT       ,02 TWO FAMILY HOMES     ,310,"$200,000 ","$490,178 ","$477,000 ","$1,600,000 "
BEDFORD STUYVESANT       ,03 THREE FAMILY HOMES   ,158,"$200,000 ","$526,903 ","$507,500 ","$1,285,000 "
BENSONHURST              ,01 ONE FAMILY HOMES     ,40,"$380,000 ","$649,900 ","$610,000 ","$1,200,000 "
BENSONHURST              ,02 TWO FAMILY HOMES     ,127,"$200,000 ","$698,360 ","$700,000 ","$1,550,000 "
BENSONHURST              ,03 THREE FAMILY HOMES   ,38,"$300,000 ","$804,382 ","$850,000 ","$1,260,000 "
BERGEN BEACH             ,01 ONE FAMILY HOMES     ,20,"$310,000 ","$560,283 ","$529,334 ","$955,000 "
BERGEN BEACH             ,02 TWO FAMILY HOMES     ,12,"$510,000 ","$634,500 ","$630,000 ","$800,000 "
BERGEN BEACH             ,03 THREE FAMILY HOMES   ,8,"$450,000 ","$596,063 ","$608,250 ","$725,000 "
